Invoice,StockCode,Description,Quantity,Price,Customer ID,Country
489440,22349,"DOG BOWL , CHASING BALL DESIGN",8,3.75,18087,United Kingdom
489441,22321,BIRD DECORATION RED SPOT,12,0.72,18087,United Kingdom
489441,22138,BAKING SET 9 PIECE RETROSPOT ,6,4.25,18087,United Kingdom
489441,84029E,RED WOOLLY HOTTIE WHITE HEART.,36,2.95,18087,United Kingdom
489441,22111,SCOTTIE DOG HOT WATER BOTTLE,48,4.25,18087,United Kingdom
489442,21955,UNION JACK GUNS & ROSES  DOORMAT,2,6.75,13635,United Kingdom
489442,22111,SCOTTIE DOG HOT WATER BOTTLE,3,4.95,13635,United Kingdom
489442,22296,HEART IVORY TRELLIS LARGE,12,1.65,13635,United Kingdom
489442,84899E,YELLOW + BROWN BEAR FELT PURSE KIT,12,1.25,13635,United Kingdom
489442,22271,FELTCRAFT DOLL ROSIE,6,2.95,13635,United Kingdom
489442,22272,FELTCRAFT DOLL MARIA,6,2.95,13635,United Kingdom
489442,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2.95,13635,United Kingdom
489442,21582,KINGS CHOICE SMALL TUBE MATCHES,20,1.65,13635,United Kingdom
489442,21586,KINGS CHOICE GIANT TUBE MATCHES,12,2.55,13635,United Kingdom
489442,21590,KINGS CHOICE CIGAR BOX MATCHES ,48,1.25,13635,United Kingdom
489442,22091,EMPIRE TISSUE BOX,12,1.25,13635,United Kingdom
489442,84251J,"GREETING CARD, THE BLACK CAT",12,0.42,13635,United Kingdom
489442,22024,RAINY LADIES BIRTHDAY CARD,12,0.42,13635,United Kingdom
489442,22026,BANQUET BIRTHDAY  CARD  ,12,0.42,13635,United Kingdom
489442,22029,SPACE BOY BIRTHDAY CARD,12,0.42,13635,United Kingdom
489442,22025,RING OF ROSES BIRTHDAY CARD,12,0.42,13635,United Kingdom
489442,22031,BOTANICAL LAVENDER BIRTHDAY CARD,12,0.42,13635,United Kingdom
489442,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,4,4.25,13635,United Kingdom
489442,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4,3.75,13635,United Kingdom
489442,21916,SET 12 RETRO WHITE CHALK STICKS,24,0.42,13635,United Kingdom
489442,21790,VINTAGE SNAP CARDS,12,0.85,13635,United Kingdom
489442,21888,BINGO SET,8,3.75,13635,United Kingdom
489442,85178,VICTORIAN SEWING KIT,12,1.25,13635,United Kingdom
489443,20754,RETRO RED SPOTTY WASHING UP GLOVES,6,2.1,14110,United Kingdom
489443,21035,SET/2 RED SPOTTY TEA TOWELS ,12,2.95,14110,United Kingdom
489443,22041,"RECORD FRAME 7"" SINGLE SIZE ",48,2.1,14110,United Kingdom
489443,82001S,VINYL RECORD FRAME SILVER,24,3.39,14110,United Kingdom
489443,82580,BATHROOM METAL SIGN,12,0.55,14110,United Kingdom
489443,85150,LADIES & GENTLEMEN METAL SIGN,12,2.55,14110,United Kingdom
489443,21041,RED SPOTTY OVEN GLOVE DOUBLE,6,2.95,14110,United Kingdom
489444,POST,POSTAGE,1,141,12636,USA
489445,35916C,PINK FELT HANGING HEART W FLOWER,12,0.85,17519,United Kingdom
489445,35916B,BLUE FELT HANGING HEART W FLOWER,12,0.85,17519,United Kingdom
489445,22321,BIRD DECORATION RED SPOT,24,0.85,17519,United Kingdom
489445,22130,PARTY CONE CHRISTMAS DECORATION ,12,0.85,17519,United Kingdom
489445,22180,RETRO SPOT LAMP,2,9.95,17519,United Kingdom
489445,22128,PARTY CONES CANDY ASSORTED,12,1.25,17519,United Kingdom
489445,22163,HEART STRING MEMO HOLDER HANGING,6,2.95,17519,United Kingdom
489445,35951,FOLKART BAUBLE CHRISTMAS DECORATION,48,0.38,17519,United Kingdom
489445,22253,6 CROCHET STRAWBERRIES,12,1.25,17519,United Kingdom
489445,84988,SET OF 72 PINK HEART PAPER DOILIES,12,1.45,17519,United Kingdom
489445,22219,LOVEBIRD HANGING DECORATION WHITE ,24,0.85,17519,United Kingdom
489445,18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,6,2.55,17519,United Kingdom
489445,22138,BAKING SET 9 PIECE RETROSPOT ,3,4.95,17519,United Kingdom
489445,21299,EDWARDIAN TOILET ROLL UNIT ,1,12.75,17519,United Kingdom
489445,21099,SET/6 STRAWBERRY PAPER CUPS,24,0.65,17519,United Kingdom
489445,21085,SET/6 WOODLAND PAPER CUPS,24,0.65,17519,United Kingdom
489445,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,1.95,17519,United Kingdom
489445,22241,"GARLAND , WOODEN  "" HAPPY EASTER""",24,1.25,17519,United Kingdom
489445,21091,SET/6 WOODLAND PAPER PLATES,12,0.85,17519,United Kingdom
489446,21733,RED HANGING HEART T-LIGHT HOLDER,32,2.55,13758,United Kingdom
489446,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2.55,13758,United Kingdom
489446,22178,VICTORIAN GLASS HANGING T-LIGHT,12,1.25,13758,United Kingdom
489446,22125,UNION JACK HOT WATER BOTTLE ,12,5.95,13758,United Kingdom
489446,21671,RED SPOT CERAMIC DRAWER KNOB,12,1.25,13758,United Kingdom
489446,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,12,2.95,13758,United Kingdom
489446,22111,SCOTTIE DOG HOT WATER BOTTLE,6,4.95,13758,United Kingdom
489446,22112,CHOCOLATE HOT WATER BOTTLE,12,4.95,13758,United Kingdom
489446,22294,HEART FILIGREE DOVE  SMALL,24,1.25,13758,United Kingdom
489446,22199,FRYING PAN RED POLKADOT ,4,4.25,13758,United Kingdom
489446,22083,PAPER CHAIN KIT RETRO SPOT,24,2.95,13758,United Kingdom
489446,22114,HOT WATER BOTTLE TEA AND SYMPATHY,12,3.95,13758,United Kingdom
489446,21485,RED SPOT HEART HOT WATER BOTTLE,12,4.95,13758,United Kingdom
489446,21928,JUMBO BAG SCANDINAVIAN PAISLEY,10,1.95,13758,United Kingdom
489446,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,1.95,13758,United Kingdom
489446,85099B,JUMBO BAG RED WHITE SPOTTY ,20,1.95,13758,United Kingdom
489446,22356,"CHARLOTTE BAG , PINK/WHITE SPOTS",10,0.85,13758,United Kingdom
489446,20724,RED SPOTTY CHARLOTTE BAG,10,0.85,13758,United Kingdom
489446,21590,KINGS CHOICE CIGAR BOX MATCHES ,24,1.25,13758,United Kingdom
489446,21592,RETRO SPOT  CIGAR BOX MATCHES ,24,1.25,13758,United Kingdom
489446,20725,LUNCH BAG RED SPOTTY,10,1.65,13758,United Kingdom
489446,20728,LUNCH BAG CARS BLUE,10,1.65,13758,United Kingdom
489446,20726,LUNCH BAG WOODLAND,10,1.65,13758,United Kingdom
489446,20754,RETRO RED SPOTTY WASHING UP GLOVES,12,2.1,13758,United Kingdom
489446,21217,RED SPOTTY ROUND CAKE TINS,12,8.95,13758,United Kingdom
489446,22195,LARGE HEART MEASURING SPOONS,12,1.65,13758,United Kingdom
489446,85066,CREAM SWEETHEART MINI CHEST,2,12.75,13758,United Kingdom
489447,POST,POSTAGE,1,130,12362,Belgium
489448,20827,GOLD APERITIF GLASS,48,2.12,15413,United Kingdom
489448,20825,GOLD WINE GLASS,48,3.39,15413,United Kingdom
489448,20823,GOLD WINE GOBLET,48,4.25,15413,United Kingdom
489448,20826,SILVER APERITIF GLASS,48,2.12,15413,United Kingdom
C489449,22087,PAPER BUNTING WHITE LACE,-12,2.95,16321,Australia
C489449,85206A,CREAM FELT EASTER EGG BASKET,-6,1.65,16321,Australia
C489449,21895,POTTING SHED SOW 'N' GROW SET,-4,4.25,16321,Australia
C489449,21896,POTTING SHED TWINE,-6,2.1,16321,Australia
C489449,22083,PAPER CHAIN KIT RETRO SPOT,-12,2.95,16321,Australia
C489449,21871,SAVE THE PLANET MUG,-12,1.25,16321,Australia
C489449,84946,ANTIQUE SILVER TEA GLASS ETCHED,-12,1.25,16321,Australia
C489449,84970S,HANGING HEART ZINC T-LIGHT HOLDER,-24,0.85,16321,Australia
C489449,22090,PAPER BUNTING RETRO SPOTS,-12,2.95,16321,Australia
489450,22087,PAPER BUNTING WHITE LACE,12,2.95,16321,Australia
489450,85206A,CREAM FELT EASTER EGG BASKET,6,1.65,16321,Australia
489450,21895,POTTING SHED SOW 'N' GROW SET,4,4.25,16321,Australia
489450,21896,POTTING SHED TWINE,6,2.1,16321,Australia
489450,22083,PAPER CHAIN KIT RETRO SPOT,12,2.95,16321,Australia
489450,21871,SAVE THE PLANET MUG,12,1.25,16321,Australia
489450,84946,ANTIQUE SILVER TEA GLASS ETCHED,12,1.25,16321,Australia
489450,84970S,HANGING HEART ZINC T-LIGHT HOLDER,24,0.85,16321,Australia
489450,22090,PAPER BUNTING RETRO SPOTS,12,2.95,16321,Australia
C489459,90200A,PURPLE SWEETHEART BRACELET,-3,4.25,17592,United Kingdom
C489459,90200D,PINK SWEETHEART BRACELET,-3,4.25,17592,United Kingdom
C489459,90200B,BLACK SWEETHEART BRACELET,-3,4.25,17592,United Kingdom
C489459,90200E,GREEN SWEETHEART BRACELET,-3,4.25,17592,United Kingdom
C489459,90200C,BLUE SWEETHEART BRACELET,-3,4.25,17592,United Kingdom
C489459,90185C,BLACK DIAMANTE EXPANDABLE RING,-3,4.25,17592,United Kingdom
C489459,90185B,AMETHYST DIAMANTE EXPANDABLE RING,-3,4.25,17592,United Kingdom
C489459,90003C,MIDNIGHT BLUE PAIR HEART HAIR SLIDE,-3,3.75,17592,United Kingdom
C489459,90003D,CRYSTAL PAIR HEART HAIR SLIDES,-3,3.75,17592,United Kingdom
C489459,90003B,ROSE COLOUR PAIR HEART HAIR SLIDES,-3,3.75,17592,United Kingdom
C489459,90209C,PINK ENAMEL+GLASS HAIR COMB,-3,2.1,17592,United Kingdom
C489459,90209A,PURPLE ENAMEL+GLASS HAIR COMB,-3,2.1,17592,United Kingdom
C489459,90082D,DIAMANTE BOW BROOCH BLACK COLOUR,-2,6.35,17592,United Kingdom
489460,79323P,PINK CHERRY LIGHTS,8,6.75,16167,United Kingdom
489460,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,0.55,16167,United Kingdom
489460,84991,60 TEATIME FAIRY CAKE CASES,24,0.55,16167,United Kingdom
489460,22274,FELTCRAFT DOLL EMILY,6,2.95,16167,United Kingdom
489460,22273,FELTCRAFT DOLL MOLLY,6,2.95,16167,United Kingdom
489460,22179,SET 10 LIGHTS NIGHT OWL,4,6.75,16167,United Kingdom
489460,22320,BIRDS MOBILE VINTAGE DESIGN,3,5.95,16167,United Kingdom
489460,22232,3 PIECE JIGSAW TOADSTOOLS,8,1.65,16167,United Kingdom
489460,84598,BOYS ALPHABET IRON ON PATCHES,576,0.21,16167,United Kingdom
489460,79323W, WHITE CHERRY LIGHTS,8,6.75,16167,United Kingdom
489460,22138,BAKING SET 9 PIECE RETROSPOT ,3,4.95,16167,United Kingdom
489460,22139,RETRO SPOT TEA SET CERAMIC 11 PC ,3,4.95,16167,United Kingdom
489460,79323S, SILVER CHERRY LIGHTS,4,6.75,16167,United Kingdom
489460,21731,RED TOADSTOOL LED NIGHT LIGHT,12,1.65,16167,United Kingdom
489460,84568,GIRLS ALPHABET IRON ON PATCHES ,288,0.21,16167,United Kingdom
489461,21668,RED STRIPE CERAMIC DRAWER KNOB,24,1.25,17865,United Kingdom
489461,21669,BLUE STRIPE CERAMIC DRAWER KNOB,24,1.25,17865,United Kingdom
489461,21670,BLUE SPOT CERAMIC DRAWER KNOB,24,1.25,17865,United Kingdom
489461,21671,RED SPOT CERAMIC DRAWER KNOB,24,1.25,17865,United Kingdom
489461,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,24,1.25,17865,United Kingdom
489461,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,24,1.25,17865,United Kingdom
489461,22125,UNION JACK HOT WATER BOTTLE ,3,5.95,17865,United Kingdom
489461,21232,STRAWBERRY CERAMIC TRINKET BOX,48,1.25,17865,United Kingdom
489461,85071A,BLUE CHARLIE+LOLA PERSONAL DOORSIGN,6,2.95,17865,United Kingdom
489461,85071B,RED CHARLIE+LOLA PERSONAL DOORSIGN,6,2.95,17865,United Kingdom
489461,21161,KEEP OUT BOYS DOOR HANGER ,12,1.45,17865,United Kingdom
489461,21162,TOXIC AREA  DOOR HANGER ,12,1.45,17865,United Kingdom
489461,21248,DOOR HANGER  MUM + DADS ROOM,12,1.45,17865,United Kingdom
489461,21159,MOODY BOY  DOOR HANGER ,12,1.45,17865,United Kingdom
489461,82582,AREA PATROLLED METAL SIGN,12,2.1,17865,United Kingdom
489461,21181,PLEASE ONE PERSON  METAL SIGN,6,2.1,17865,United Kingdom
489461,85150,LADIES & GENTLEMEN METAL SIGN,6,2.55,17865,United Kingdom
489461,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2.95,17865,United Kingdom
489461,82486,WOOD S/3 CABINET ANT WHITE FINISH,2,7.95,17865,United Kingdom
489461,82483,WOOD 2 DRAWER CABINET WHITE FINISH,3,5.95,17865,United Kingdom
489462,90200D,PINK SWEETHEART BRACELET,3,4.25,17592,United Kingdom
489462,90200E,GREEN SWEETHEART BRACELET,3,4.25,17592,United Kingdom
489461,21212,PACK OF 72 RETRO SPOT CAKE CASES,24,0.55,17865,United Kingdom
489461,84991,60 TEATIME FAIRY CAKE CASES,24,0.55,17865,United Kingdom
489461,22180,RETRO SPOT LAMP,2,9.95,17865,United Kingdom
489461,72756,FAIRY CAKE CANDLES,27,1.49,17865,United Kingdom
489461,22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,6,2.95,17865,United Kingdom
489461,37450,CERAMIC CAKE BOWL + HANGING CAKES,6,2.95,17865,United Kingdom
489462,90200A,PURPLE SWEETHEART BRACELET,3,4.25,17592,United Kingdom
489462,90200C,BLUE SWEETHEART BRACELET,3,4.25,17592,United Kingdom
489462,90200B,BLACK SWEETHEART BRACELET,3,4.25,17592,United Kingdom
489462,90185C,BLACK DIAMANTE EXPANDABLE RING,3,4.25,17592,United Kingdom
489462,90185B,AMETHYST DIAMANTE EXPANDABLE RING,3,4.25,17592,United Kingdom
489462,90003C,MIDNIGHT BLUE PAIR HEART HAIR SLIDE,3,3.75,17592,United Kingdom
489462,90003D,CRYSTAL PAIR HEART HAIR SLIDES,3,3.75,17592,United Kingdom
489462,90003B,ROSE COLOUR PAIR HEART HAIR SLIDES,3,3.75,17592,United Kingdom
489462,90209C,PINK ENAMEL+GLASS HAIR COMB,3,2.1,17592,United Kingdom
489462,90209A,PURPLE ENAMEL+GLASS HAIR COMB,3,2.1,17592,United Kingdom
489462,90082D,DIAMANTE BOW BROOCH BLACK COLOUR,2,6.35,17592,United Kingdom
489464,21733,85123a mixed,-96,0,,United Kingdom
489465,21707,"FOLDING UMBRELLA , BLACK/BLUE  SPOT",12,4.95,13767,United Kingdom
489465,21710,FOLDING UMBRELLA  PINK/WHITE  SPOT,12,4.95,13767,United Kingdom
489465,21708,FOLDING UMBRELLA  CREAM/MULTI  SPOT,12,4.95,13767,United Kingdom
489465,21706,"FOLDING UMBRELLA , RED/WHITE SPOT",12,4.95,13767,United Kingdom
489465,21711,FOLDING UMBRELLA  WHITE/RED  SPOT,12,4.95,13767,United Kingdom
489465,20747,PICCADILLY TEA SET,4,14.95,13767,United Kingdom
489465,22125,UNION JACK HOT WATER BOTTLE ,12,5.95,13767,United Kingdom
489465,85123A,WHITE HANGING HEART T-LIGHT HOLDER,64,2.55,13767,United Kingdom
489465,21733,RED HANGING HEART T-LIGHT HOLDER,20,2.95,13767,United Kingdom
489465,20752,RETRO BLUE SPOTTY WASHING UP GLOVES,8,2.1,13767,United Kingdom
489465,20753,RETRO PINK SPOT WASHING UP GLOVES,8,2.1,13767,United Kingdom
489465,20754,RETRO RED SPOTTY WASHING UP GLOVES,8,2.1,13767,United Kingdom
489465,20751,FUNKY WASHING UP GLOVES ASSORTED,12,2.1,13767,United Kingdom
489465,48185,DOOR MAT FAIRY CAKE,4,6.75,13767,United Kingdom
489465,22114,HOT WATER BOTTLE TEA AND SYMPATHY,12,3.95,13767,United Kingdom
489465,21481,FAWN BLUE HOT WATER BOTTLE,8,2.95,13767,United Kingdom
489465,85042,ANTIQUE LILY FAIRY LIGHTS,24,4.25,13767,United Kingdom
489465,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,4,9.95,13767,United Kingdom
489465,84879,ASSORTED COLOUR BIRD ORNAMENT,160,1.45,13767,United Kingdom
489463,71477,short,-240,0,,United Kingdom
489467,85123A,21733 mixed,-192,0,,United Kingdom
C489476,22149,FELTCRAFT 6 FLOWER FRIENDS,-6,2.1,13293,United Kingdom
489488,84031B,CHARLIE LOLA BLUE HOT WATER BOTTLE ,1,4.65,17238,United Kingdom
489488,84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,1,2.95,17238,United Kingdom
489488,84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,1,2.95,17238,United Kingdom
489488,22125,UNION JACK HOT WATER BOTTLE ,2,5.95,17238,United Kingdom
489488,21482,MUSHROOM BLUE HOT WATER BOTTLE,2,2.95,17238,United Kingdom
489488,21484,CHICK GREY HOT WATER BOTTLE,3,3.45,17238,United Kingdom
489488,20967,GREY FLORAL FELTCRAFT SHOULDER BAG,1,3.75,17238,United Kingdom
489488,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,2,3.75,17238,United Kingdom
489488,21100,CHARLIE AND LOLA CHARLOTTE BAG,2,1.65,17238,United Kingdom
489488,84582,PINK CROCHET CAT WITH SCARF,2,4.25,17238,United Kingdom
489488,20972,PINK CREAM FELT CRAFT TRINKET BOX ,3,1.25,17238,United Kingdom
489488,20971,PINK BLUE FELT CRAFT TRINKET BOX,1,1.25,17238,United Kingdom
489488,84327A,PINK JUMPER LARRY THE LAMB,2,2.1,17238,United Kingdom
489488,22125,UNION JACK HOT WATER BOTTLE ,1,5.95,17238,United Kingdom
489488,21490,SET OF THREE 50'S GIFT WRAPS ,3,1.95,17238,United Kingdom
489488,21063,PARTY INVITES JAZZ HEARTS,4,0.85,17238,United Kingdom
489488,21058,PARTY INVITES WOODLAND,3,0.85,17238,United Kingdom
489488,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,5,2.95,17238,United Kingdom
489488,84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,4,3.75,17238,United Kingdom
489488,84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,4,3.75,17238,United Kingdom
489488,22301,COFFEE MUG CAT + BIRD DESIGN,2,2.55,17238,United Kingdom
489488,22300,COFFEE MUG DOG + BALL DESIGN,3,2.55,17238,United Kingdom
489488,21493, VINTAGE DESIGN GIFT TAGS,6,0.85,17238,United Kingdom
489488,21231,SWEETHEART CERAMIC TRINKET BOX,4,1.25,17238,United Kingdom
489488,20870,OPULENT VELVET CANDLE IN BOX,6,2.1,17238,United Kingdom
489488,90121B,VINTAGE ROSE BEAD BRACELET BLUE,4,4.25,17238,United Kingdom
489488,90175A,WHITE GLASS CHUNKY CHARM BRACELET,2,8.95,17238,United Kingdom
489488,90195B,BLACK GEMSTONE BRACELET,2,8.95,17238,United Kingdom
489488,90062,CARNIVAL BRACELET,2,12.75,17238,United Kingdom
489488,21930,JUMBO STORAGE BAG SKULLS,2,1.95,17238,United Kingdom
C489503,21540,DAIRY MAID CERAMIC BUTTER DISH,-2,4.25,16011,United Kingdom
C489503,21533,RETRO SPOT LARGE MILK JUG,-1,4.95,16011,United Kingdom
C489504,85083,KISS REINDEER SCANDINAVIAN STOCKING,-6,2.55,13916,United Kingdom
489505,21472,LADYBIRD + BEE RAFFIA FOOD COVER,6,3.75,15712,United Kingdom
489505,85099B,JUMBO BAG RED WHITE SPOTTY ,10,1.95,15712,United Kingdom
489505,48185,DOOR MAT FAIRY CAKE,10,5.95,15712,United Kingdom
489505,47566B,TEA TIME PARTY BUNTING,5,4.65,15712,United Kingdom
489505,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,1.95,15712,United Kingdom
489505,22139,RETRO SPOT TEA SET CERAMIC 11 PC ,6,4.95,15712,United Kingdom
489505,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,6,2.95,15712,United Kingdom
